Index,Subindex,Objectname,Datatype,Access,Defaultvalue,Variable,LowLimit,HighLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size
0x1806,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,1000,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0
0x1807,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,2,6,yes,no,no,no,1,ManagedConst,0
0x1807,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,1,4294967295,yes,no,no,no,1,ManagedVariable,0
0x1807,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,no,no,no,no,1,ManagedVariable,0
0x1807,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,1000,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0
0x1a00,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,const,2,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1a00,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,const,546439200,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a00,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,const,546504736,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a01,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,const,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1a01,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,const,548667408,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a01,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,const,548732944,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a01,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,const,540999696,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a01,0x04,Transmit PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,const,541917200,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a02,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,const,3,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1a02,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,const,548470816,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a02,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,const,543031312,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a02,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,const,543162384,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a03,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,const,3,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1a03,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,const,542048272,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a03,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,const,542113808,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a03,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,const,542769184,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a05,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,const,4,NONE,0,255,yes,no,no,no,1,ManagedConst,0
0x1a05,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,const,550174736,NONE,0,0,yes,no,no,no,1,ManagedConst,0
0x1a05,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,const,550240272,NONE,0,0,yes,no,no,no,1,ManagedConst,0
