Index,Subindex,Objectname,Datatype,Access,Defaultvalue,Variable,LowLimit,HighLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size
0x2097,0x00,Feedback2_scale,INTEGER32,rw,0,Feedback2_scale,0,0,no,no,no,no,1,Variable,0
0x2098,0x00,PositionError,INTEGER32,ro,0,PositionError,0,0,no,no,no,no,0,Variable,0
0x2099,0x00,USER_POS_intmax,INTEGER16,rw,0,USER_POS_intmax,0,0,no,no,no,no,1,Variable,0
0x209a,0x00,USER_POS_td,INTEGER16,rw,0,USER_POS_td,0,0,no,no,no,no,1,Variable,0
0x209b,0x00,USER_POS_ti,INTEGER16,rw,0,USER_POS_ti,0,0,no,no,no,no,1,Variable,0
0x209c,0x00,USER_POS_v,INTEGER16,rw,0,USER_POS_v,0,0,no,no,no,no,1,Variable,0
0x209d,0x00,POS_ndrive_offset,INTEGER32,rw,0,POS_ndrive_offset,0,0,no,no,no,no,1,Variable,0
0x209e,0x00,POS_ndrive_scale,INTEGER32,rw,0,POS_ndrive_scale,0,0,no,no,no,no,1,Variable,0
0x209f,0x00,PositionOffset_Ref,INTEGER32,rw,0,PositionOffset_Ref,0,0,no,no,no,no,1,Variable,0
0x20a0,0x00,PositionOffset_Slack,INTEGER32,rw,0,PositionOffset_Slack,0,0,no,no,no,no,1,Variable,0
0x20a1,0x00,PositionOffest_Var,INTEGER32,ro,0,PositionOffest_Var,0,0,no,no,no,no,0,Variable,0
0x20a2,0x00,POS_preset,INTEGER32,rw,0,POS_preset,0,0,no,no,no,no,1,Variable,0
